위치,위도,경도,상태
서울특별시 강동구 명일동 산 67-3,37.5464109,127.1487297,정좌표
서울특별시 강동구 성내동 160-45,37.53635579,127.1298629,정좌표
서울특별시 강동구 암사동 418-7,37.55241875,127.1412505,정좌표
서울특별시 강동구 암사동 500-27,37.55215606,127.1292786,정좌표
서울특별시 강동구 암사동 산 1-1,37.56746388,127.140114,정좌표
서울특별시 강동구 암사동 산 4-22,37.56666365,127.1392658,정좌표
서울특별시 강동구 암사동 산 6-2,37.56737914,127.1430821,정좌표
서울특별시 강동구 암사동 산 7-5,37.56606127,127.144534,정좌표
서울특별시 강동구 천호동 195-1,37.54146117,127.1327929,정좌표
서울특별시 강동구 천호동 219-1,37.54502463,127.1357054,정좌표
서울특별시 강북구 미아동 1353,37.61796618,127.0126044,정좌표
서울특별시 강북구 미아동 산 35-1,37.61895575,127.0371735,정좌표
서울특별시 강북구 번동 산 68-1,37.62235078,127.0443934,수정
서울특별시 강북구 수유동 486-739,37.62729104,127.0119009,정좌표
서울특별시 강북구 수유동 516-44,37.63850128,127.0084376,정좌표
서울특별시 강북구 수유동 산 127-1,37.6372595,126.9969626,정좌표
서울특별시 강북구 우이동 산 68-1,37.660725,126.9937537,정좌표
서울특별시 강서구 가양동 산 5,37.57479915,126.8413091,정좌표
서울특별시 강서구 개화동 산 16-1,37.58704826,126.8073342,정좌표
서울특별시 강서구 개화동 산 17,37.58803161,126.8054964,정좌표
서울특별시 강서구 내발산동 761,37.5472899,126.8229002,정좌표
서울특별시 강서구 등촌동 365-171,37.5501252,126.8575061,정좌표
서울특별시 강서구 등촌동 568-34,37.53742637,126.8624492,정좌표
서울특별시 강서구 등촌동 569-28,37.53750652,126.8620788,수정
서울특별시 강서구 등촌동 산 26-11,37.54997185,126.8573865,수정
서울특별시 강서구 염창동 233-7,37.55876467,126.8691862,정좌표
서울특별시 강서구 염창동 산 20-1,37.553781,126.8755262,정좌표
서울특별시 강서구 화곡동 1030-27,37.54372368,126.8393468,정좌표
서울특별시 강서구 화곡동 1093-68,37.55287954,126.8463051,정좌표
서울특별시 강서구 화곡동 1125-13,37.55403361,126.8569172,정좌표
서울특별시 강서구 화곡동 42-75,37.54620239,126.8518317,정좌표
서울특별시 강서구 화곡동 869-29,37.5328719,126.8533917,정좌표
서울특별시 강서구 화곡동 산 41-9,37.54043858,126.8526288,정좌표
서울특별시 강서구 화곡동 산 8-1,37.53816541,126.8605199,정좌표
서울특별시 관악구 남현동 산 104-2,37.46759358,126.9802268,정좌표
서울특별시 관악구 봉천동 196-19,37.47460257,126.9647225,정좌표
서울특별시 관악구 봉천동 196-23,37.47438963,126.9648791,정좌표
서울특별시 관악구 봉천동 산 101-90,37.49340429,126.9461478,정좌표
서울특별시 관악구 봉천동 산 149-8,37.4811091,126.9366375,정좌표
서울특별시 관악구 봉천동 산 174-172,37.47560543,126.9467521,정좌표
서울특별시 관악구 봉천동 산 35-6,37.46876309,126.9624947,정좌표
서울특별시 관악구 봉천동 산 66-1,37.47788966,126.9668594,정좌표
서울특별시 관악구 신림동 1707-1,37.48061747,126.9172953,정좌표
서울특별시 관악구 신림동 1713,37.46397961,126.9266744,정좌표
서울특별시 관악구 신림동 1735-2,37.46066236,126.9184276,정좌표
서울특별시 관악구 신림동 198,37.45758778,126.9426823,정좌표
서울특별시 관악구 신림동 산 10-2,37.46992554,126.9511533,정좌표
서울특별시 관악구 신림동 산 110-17,37.46912944,126.9188609,정좌표
서울특별시 관악구 신림동 산 117-10,37.47390538,126.9138383,정좌표
서울특별시 관악구 신림동 산 181-16,37.47887552,126.9242802,정좌표
서울특별시 관악구 신림동 산 32-1,37.46765828,126.9459494,정좌표
서울특별시 관악구 신림동 산 75-7,37.4580114,126.9323712,정좌표
서울특별시 관악구 신림동 산 78-1,37.45997574,126.9263376,정좌표
서울특별시 광진구 광장동 144-1,37.55097365,127.108775,정좌표
서울특별시 광진구 광장동 36-6,37.55285214,127.1112339,정좌표
서울특별시 광진구 광장동 42-7,37.55305636,127.1103884,수정
서울특별시 광진구 광장동 5-133,37.55641076,127.1118168,정좌표
서울특별시 광진구 광장동 577-2,37.54499456,127.1009556,정좌표
서울특별시 광진구 광장동 산 68-1,37.55132461,127.1007624,수정
서울특별시 광진구 구의동 34-16,37.55210746,127.0959217,정좌표
서울특별시 광진구 중곡동 143-146,37.56300288,127.0961525,정좌표
서울특별시 광진구 중곡동 176-1,37.56683027,127.0885339,정좌표
서울특별시 광진구 중곡동 176-112,37.56737947,127.0902736,정좌표
서울특별시 광진구 중곡동 176-78,37.56520381,127.0892622,정좌표
서울특별시 구로구 가리봉동 513-5,37.48719789,126.8803515,정좌표
서울특별시 구로구 개봉동 335-12,37.49296352,126.8490544,정좌표
서울특별시 구로구 개봉동 60-84,37.49985794,126.8426203,정좌표
서울특별시 구로구 오류동 145-92,37.49187874,126.8479609,정좌표
서울특별시 구로구 오류동 313-53,37.49642066,126.8366696,정좌표
서울특별시 구로구 오류동 산 43-5,37.49029925,126.8307184,정좌표
서울특별시 구로구 천왕동 70-1,37.47779276,126.8445911,정좌표
서울특별시 금천구 가산동 703-3,37.48551694,126.8749698,수정
서울특별시 금천구 독산동 1131,37.46106921,126.8922467,정좌표
서울특별시 금천구 독산동 1135,37.46464204,126.8931043,정좌표
서울특별시 금천구 독산동 1138,37.47207209,126.9022121,정좌표
서울특별시 금천구 독산동 산 203-2,37.46539076,126.9075245,정좌표
서울특별시 금천구 독산동 산 378-54,37.46504966,126.9074136,인근좌표
서울특별시 금천구 시흥동 1002-1,37.45041038,126.8993541,정좌표
서울특별시 금천구 시흥동 1002-2,37.44804329,126.8989625,정좌표
서울특별시 금천구 시흥동 1004,37.44351476,126.9071946,정좌표
서울특별시 금천구 시흥동 1005,37.44426501,126.9067171,정좌표
서울특별시 금천구 시흥동 1006,37.45308961,126.9177403,정좌표
서울특별시 금천구 시흥동 1010,37.45156084,126.9188785,정좌표
서울특별시 금천구 시흥동 1011,37.44933175,126.9137229,정좌표
서울특별시 금천구 시흥동 1013,37.4482588,126.9187464,정좌표
서울특별시 금천구 시흥동 1013-4,37.44944491,126.9166241,정좌표
서울특별시 금천구 시흥동 1015,37.45771128,126.8976859,정좌표
서울특별시 금천구 시흥동 1016,37.4603198,126.9077898,정좌표
서울특별시 금천구 시흥동 1018,37.45347685,126.9097015,정좌표
서울특별시 금천구 시흥동 1-70,37.46292259,126.9112569,정좌표
서울특별시 금천구 시흥동 173-8,37.45420587,126.9089038,정좌표
서울특별시 금천구 시흥동 209,37.45401192,126.9106619,정좌표
서울특별시 금천구 시흥동 220-2,37.45359126,126.913894,정좌표
서울특별시 금천구 시흥동 268-46,37.44884028,126.9157855,정좌표
서울특별시 금천구 시흥동 384-12,37.4493572,126.9106828,정좌표
서울특별시 금천구 시흥동 438-194,37.44711861,126.9065392,정좌표
서울특별시 금천구 시흥동 4-83,37.46003535,126.9083123,정좌표
서울특별시 금천구 시흥동 5-13,37.46326719,126.9094234,정좌표
서울특별시 금천구 시흥동 655-5,37.43956454,126.9068581,정좌표
서울특별시 금천구 시흥동 789,37.44779274,126.9013174,수정
서울특별시 금천구 시흥동 937-26,37.44496537,126.9044256,정좌표
서울특별시 금천구 시흥동 964-14,37.43666667,126.9051512,정좌표
서울특별시 금천구 시흥동 산 100-1,37.4545063,126.9221125,정좌표
서울특별시 금천구 시흥동 산 100-43,37.45171431,126.9217269,정좌표
서울특별시 금천구 시흥동 산 104-43,37.45350191,126.9171978,인근좌표
서울특별시 금천구 시흥동 산 126-28,37.4599969,126.9089393,정좌표
서울특별시 금천구 시흥동 산 270-2,37.43362557,126.9077047,인근좌표
서울특별시 금천구 시흥동 산 73-5,37.44413874,126.9167359,정좌표
서울특별시 금천구 시흥동 산 83-35,37.44821993,126.9116896,정좌표
서울특별시 금천구 시흥동 산 83-65,37.44871366,126.911888,정좌표
서울특별시 금천구 시흥동 산 93-1,37.45034623,126.9252109,정좌표
서울특별시 노원구 상계동 1272,37.67526719,127.0599759,정좌표
서울특별시 노원구 상계동 135,37.66607432,127.0686401,정좌표
서울특별시 노원구 상계동 463,37.66739274,127.0674918,정좌표
서울특별시 노원구 상계동 5-12,37.67426058,127.0837077,정좌표
서울특별시 노원구 상계동 58-13,37.67323619,127.0800586,정좌표
서울특별시 노원구 상계동 71-80,37.67168169,127.0850417,정좌표
서울특별시 노원구 상계동 산 143,37.66790603,127.0686005,정좌표
서울특별시 노원구 월계동 447-1,37.61969406,127.0596443,정좌표
서울특별시 노원구 중계동 산 142,37.64185944,127.0826242,정좌표
서울특별시 도봉구 도봉동 515-2,37.68746586,127.026103,정좌표
서울특별시 도봉구 도봉동 546,37.68297513,127.0106533,정좌표
서울특별시 도봉구 도봉동 산 29-3,37.68267279,127.0109727,정좌표
서울특별시 도봉구 도봉동 산 29-89,37.68314086,127.0170555,정좌표
서울특별시 도봉구 도봉동 산 31,37.69523579,127.0199772,정좌표
서울특별시 도봉구 도봉동 산 37,37.69236791,127.0224775,정좌표
서울특별시 도봉구 도봉동 산 39,37.69414254,127.0199248,정좌표
서울특별시 도봉구 방학동 508,37.65682978,127.021715,정좌표
서울특별시 도봉구 방학동 산 90-11,37.65671705,127.0254254,정좌표
서울특별시 도봉구 쌍문동 13-2,37.65987401,127.0356358,정좌표
서울특별시 도봉구 쌍문동 524-87,37.6562513,127.0173654,정좌표
서울특별시 도봉구 쌍문동 721,37.65142418,127.0273956,정좌표
서울특별시 도봉구 쌍문동 730,37.65157445,127.0291571,정좌표
서울특별시 도봉구 쌍문동 79-3,37.65496412,127.0277476,수정
서울특별시 동대문구 답십리동 10-4,37.57016704,127.0615783,정좌표
서울특별시 동대문구 답십리동 2-301,37.57207104,127.0634343,정좌표
서울특별시 동대문구 답십리동 990-4,37.57157155,127.0593452,정좌표
서울특별시 동대문구 답십리동 산 2-12,37.57270364,127.0632389,수정
서울특별시 동대문구 답십리동 산 2-9,37.57375075,127.0635323,정좌표
서울특별시 동대문구 장안동 467,37.56109241,127.0705388,정좌표
서울특별시 동대문구 전농동 1-188,37.58213494,127.0677944,정좌표
서울특별시 동대문구 전농동 42-1,37.57811783,127.0632086,정좌표
서울특별시 동대문구 전농동 산 32-204,37.5806829,127.0643332,수정
서울특별시 동대문구 휘경동 344,37.58818439,127.0550305,정좌표
서울특별시 동작구 노량진동 155-1,37.51363856,126.9492762,수정
서울특별시 동작구 노량진동 294-27,37.50907209,126.9359767,정좌표
서울특별시 동작구 노량진동 326,37.50637884,126.9424385,정좌표
서울특별시 동작구 대방동 23-187,37.51184648,126.9301058,정좌표
서울특별시 동작구 동작동 산 29-2,37.50045839,126.9835139,정좌표
서울특별시 동작구 동작동 산 4-2,37.49307444,126.9816843,정좌표
서울특별시 동작구 본동 475-1,37.51408372,126.9547431,정좌표
서울특별시 동작구 본동 487,37.5090482,126.9497748,정좌표
서울특별시 동작구 본동 산 2-14,37.51307045,126.9578273,정좌표
서울특별시 동작구 사당동 10-5,37.49240033,126.9762357,수정
서울특별시 동작구 사당동 182-1,37.49174056,126.9634241,수정
서울특별시 동작구 사당동 산 32-81,37.48018547,126.9654606,정좌표
서울특별시 동작구 상도동 157-14,37.5028678,126.9451504,정좌표
서울특별시 동작구 상도동 414,37.50715756,126.94975,정좌표
서울특별시 동작구 상도동 425-1,37.5046497,126.9533914,정좌표
서울특별시 동작구 상도동 430,37.50211849,126.9543426,정좌표
서울특별시 동작구 상도동 산 67-117,37.49449547,126.9387908,정좌표
서울특별시 동작구 흑석동 산 49-118,37.50012503,126.9596801,인근좌표
서울특별시 마포구 공덕동 371,37.54654272,126.9511414,정좌표
서울특별시 마포구 노고산동 12-136,37.55342084,126.9388284,정좌표
서울특별시 마포구 노고산동 12-54,37.55397396,126.9401959,정좌표
서울특별시 마포구 도화동 550,37.54010251,126.9503227,정좌표
서울특별시 마포구 도화동 82,37.53635712,126.9470389,정좌표
서울특별시 마포구 마포동 419-21,37.53455688,126.9437916,정좌표
서울특별시 마포구 상수동 1-2,37.54776667,126.9272894,정좌표
서울특별시 마포구 상수동 322-11,37.54753423,126.9216332,정좌표
서울특별시 마포구 상암동 1716-4,37.57399436,126.8926701,정좌표
서울특별시 마포구 성산동 601,37.56933283,126.908218,정좌표
서울특별시 마포구 신공덕동 14-55,37.54472993,126.9552392,인근좌표
서울특별시 마포구 신공덕동 157,37.54232654,126.9561133,정좌표
서울특별시 마포구 염리동 519,37.54981108,126.9478066,정좌표
서울특별시 마포구 중동 40-12,37.57042839,126.9085714,정좌표
서울특별시 마포구 창전동 437,37.55116065,126.9308755,정좌표
서울특별시 마포구 창전동 438,37.55267721,126.9321123,정좌표
서울특별시 마포구 창전동 439,37.55335865,126.9309534,정좌표
서울특별시 서대문구 남가좌동 368-1,37.57915658,126.9189043,정좌표
서울특별시 서대문구 대현동 67-46,37.55816194,126.9483334,정좌표
서울특별시 서대문구 북가좌동 156-37,37.5757934,126.9073483,정좌표
서울특별시 서대문구 북가좌동 449,37.5764831,126.9131455,정좌표
서울특별시 서대문구 신촌동 467,37.56679391,126.9369131,인근좌표
서울특별시 서대문구 연희동 192-26,37.56580446,126.9281648,정좌표
서울특별시 서대문구 연희동 193-9,37.56553817,126.9287039,정좌표
서울특별시 서대문구 연희동 520-252,37.57253354,126.9244955,정좌표
서울특별시 서대문구 연희동 713,37.57500633,126.9295585,정좌표
서울특별시 서대문구 연희동 742,37.57581304,126.9380505,정좌표
서울특별시 서대문구 연희동 산 713,37.57006843,126.9229946,인근좌표
서울특별시 서대문구 영천동 100,37.57029995,126.958423,정좌표
서울특별시 서대문구 영천동 5-631,37.57057677,126.9578755,정좌표
서울특별시 서대문구 창천동 390,37.56073032,126.9282551,정좌표
서울특별시 서대문구 창천동 97-154,37.56176455,126.9318397,인근좌표
서울특별시 서대문구 충정로3가 32-11,37.56081931,126.961685,정좌표
서울특별시 서대문구 현저동 1019,37.57495004,126.9514424,정좌표
서울특별시 서대문구 현저동 200,37.57202423,126.9567418,정좌표
서울특별시 서대문구 현저동 210,37.57143797,126.9560526,정좌표
서울특별시 서대문구 홍은동 186-22,37.59468065,126.9345082,정좌표
서울특별시 서대문구 홍은동 265-63,37.58642735,126.9336428,정좌표
서울특별시 서대문구 홍은동 460,37.60369585,126.9482219,정좌표
서울특별시 서대문구 홍은동 461,37.59725829,126.9378133,정좌표
서울특별시 서대문구 홍은동 8-35,37.60392757,126.9489383,정좌표
서울특별시 서대문구 홍제동 283-29,37.59541687,126.9502458,정좌표
서울특별시 서대문구 홍제동 3-2,37.5970192,126.9561201,정좌표
서울특별시 서대문구 홍제동 331,37.58898465,126.9413727,정좌표
서울특별시 서대문구 홍제동 334-9,37.58840126,126.9374192,정좌표
서울특별시 서대문구 홍제동 454,37.59508831,126.9523383,정좌표
서울특별시 서대문구 홍제동 455,37.58915314,126.9495726,정좌표
서울특별시 서대문구 홍제동 459,37.58764881,126.9495624,정좌표
서울특별시 서대문구 홍제동 460,37.58551885,126.9507945,정좌표
서울특별시 서대문구 홍제동 462,37.58044394,126.9529122,정좌표
서울특별시 서대문구 홍제동 465,37.59237453,126.9484213,정좌표
서울특별시 서대문구 홍제동 82,37.58315605,126.947092,정좌표
서울특별시 서대문구 홍제동 8-26,37.59282555,126.9503449,정좌표
서울특별시 서대문구 홍제동 산 1-1,37.58765345,126.9554128,정좌표
서울특별시 서대문구 홍제동 산 1-112,37.57922546,126.9534069,정좌표
서울특별시 서대문구 홍제동 산 33-113,37.58280372,126.9446858,정좌표
서울특별시 서초구 내곡동 13,37.45462659,127.0667869,인근좌표
서울특별시 서초구 내곡동 1-3021,37.46026147,127.0799585,인근좌표
서울특별시 서초구 내곡동 산 12-410,37.45926239,127.0935484,정좌표
서울특별시 서초구 내곡동 산 12-412,37.45702936,127.0850216,정좌표
서울특별시 서초구 내곡동 산 12-427,37.454612,127.0743104,정좌표
서울특별시 서초구 내곡동 산 12-464,37.46119031,127.0867775,정좌표
서울특별시 서초구 내곡동 산 13-309,37.46529718,127.0694545,정좌표
서울특별시 서초구 반포동 산 40-9,37.49813463,127.0068751,정좌표
서울특별시 서초구 방배동 12,37.4950519,126.9910005,정좌표
서울특별시 서초구 방배동 970-22,37.48159001,126.9876927,정좌표
서울특별시 서초구 방배동 970-28,37.48114238,126.9877813,정좌표
서울특별시 서초구 방배동 977-2,37.48243534,126.9915236,정좌표
서울특별시 서초구 방배동 979-44,37.48009234,126.9924666,정좌표
서울특별시 서초구 방배동 산 73-136,37.48014589,126.9911689,정좌표
서울특별시 서초구 방배동 산 75-2,37.47972265,126.9881538,정좌표
서울특별시 서초구 서초동 산 30-3,37.4811166,127.026472,정좌표
서울특별시 서초구 서초동 산 30-7,37.48117244,127.0272967,정좌표
서울특별시 서초구 양재동 105-1,37.4756591,127.0344571,정좌표
서울특별시 서초구 염곡동 189-10,37.4597109,127.0539006,정좌표
서울특별시 서초구 염곡동 199-3,37.46005385,127.055232,정좌표
서울특별시 서초구 염곡동 212-24,37.45819297,127.0580532,정좌표
서울특별시 서초구 염곡동 260-5,37.46275224,127.0471781,정좌표
서울특별시 서초구 염곡동 산 13-1,37.46359909,127.0465919,정좌표
서울특별시 서초구 염곡동 산 44-3,37.45963428,127.0571033,정좌표
서울특별시 서초구 우면동 산 101-2,37.45843642,127.0150545,정좌표
서울특별시 서초구 우면동 산 124-1,37.45708764,127.0108276,정좌표
서울특별시 서초구 원지동 355-7,37.44501603,127.0564027,정좌표
서울특별시 서초구 원지동 469-5,37.44101265,127.0594341,정좌표
서울특별시 서초구 원지동 93-3,37.45811708,127.0461437,정좌표
서울특별시 서초구 원지동 산 79-16,37.45781937,127.040995,정좌표
서울특별시 서초구 원지동 산 82-18,37.45723742,127.0395453,정좌표
서울특별시 성동구 금호동2가 산 9-1,37.55356082,127.0175853,정좌표
서울특별시 성동구 금호동3가 1266,37.54946854,127.0190329,정좌표
서울특별시 성동구 금호동4가 1418-52,37.5477602,127.0162724,정좌표
서울특별시 성동구 금호동4가 1507,37.54673444,127.0156351,정좌표
서울특별시 성동구 금호동4가 1540,37.54707022,127.0285602,정좌표
서울특별시 성동구 금호동4가 1815-3,37.54781694,127.014994,인근좌표
서울특별시 성동구 사근동 산 32-2,37.56130053,127.0445045,정좌표
서울특별시 성동구 옥수동 435-1,37.53950356,127.0118621,정좌표
서울특별시 성동구 옥수동 450-13,37.54065839,127.0109567,정좌표
서울특별시 성동구 옥수동 478-10,37.5396103,127.0112351,정좌표
서울특별시 성동구 옥수동 산 1-1,37.54375672,127.0202191,정좌표
서울특별시 성동구 응봉동 193-223,37.54776146,127.0322947,정좌표
서울특별시 성동구 응봉동 269-4,37.54843724,127.0307249,정좌표
서울특별시 성동구 응봉동 275-9,37.54930435,127.0291025,정좌표
서울특별시 성동구 응봉동 98,37.5510372,127.0309289,정좌표
서울특별시 성동구 행당동 산 30-4,37.55431096,127.0308657,정좌표
서울특별시 성북구 길음동 1285,37.60976656,127.0188026,정좌표
서울특별시 성북구 돈암동 13-128,37.59920121,127.0220884,정좌표
서울특별시 성북구 돈암동 15-10,37.59968449,127.0228892,정좌표
서울특별시 성북구 돈암동 609-1,37.59479798,127.0102928,정좌표
서울특별시 성북구 돈암동 산 34-1,37.59724878,127.0160308,수정
서울특별시 성북구 동소문동6가 27-1,37.59334349,127.0129603,정좌표
서울특별시 성북구 상월곡동 35-1,37.60666502,127.0480622,정좌표
서울특별시 성북구 성북동 226-38,37.59393593,126.9882349,정좌표
서울특별시 성북구 성북동 226-67,37.59284796,126.9891367,정좌표
서울특별시 성북구 성북동 226-68,37.59290338,126.9895185,정좌표
서울특별시 성북구 성북동 349-1,37.5945778,126.9891023,정좌표
서울특별시 성북구 성북동 350-23,37.59440058,126.9893456,정좌표
서울특별시 성북구 성북동 산 49-3,37.59484728,126.9888761,정좌표
서울특별시 성북구 정릉동 109-22,37.60153705,127.0141122,정좌표
서울특별시 성북구 정릉동 508-171,37.59759569,127.0052949,정좌표
서울특별시 성북구 정릉동 559-177,37.59906066,127.0074799,정좌표
서울특별시 성북구 정릉동 921-12,37.60468176,126.9981073,정좌표
서울특별시 성북구 정릉동 산 1-1,37.62422943,126.990094,정좌표
서울특별시 성북구 정릉동 산 1-283,37.61088134,126.9935233,정좌표
서울특별시 성북구 정릉동 산 1-325,37.61714216,127.0074992,수정
서울특별시 성북구 정릉동 산 15-19,37.61397584,127.0086319,정좌표
서울특별시 성북구 정릉동 산 245-3,37.6126219,126.9906818,인근좌표
서울특별시 성북구 정릉동 산 87-1,37.60762346,126.9916742,정좌표
서울특별시 성북구 정릉동 산 87-273,37.60575442,126.9883098,정좌표
서울특별시 성북구 종암동 31-36,37.59193275,127.033997,정좌표
서울특별시 성북구 종암동 81-218,37.60093371,127.0277377,정좌표
서울특별시 성북구 종암동 산 2-146,37.59330011,127.0313862,정좌표
서울특별시 성북구 하월곡동 산 2-36,37.60931278,127.0401226,수정
서울특별시 송파구 마천동 11-3,37.50210686,127.1468594,정좌표
서울특별시 양천구 목동 128-50,37.54470806,126.8805568,정좌표
서울특별시 양천구 목동 131-29,37.5440945,126.8818544,정좌표
서울특별시 양천구 목동 131-41,37.54453747,126.8808531,정좌표
서울특별시 양천구 목동 131-45,37.54401031,126.8813732,정좌표
서울특별시 양천구 목동 131-47,37.54392757,126.8810358,정좌표
서울특별시 양천구 목동 131-71,37.5444913,126.8802696,정좌표
서울특별시 양천구 목동 231-68,37.54061766,126.8705715,정좌표
서울특별시 양천구 목동 318-296,37.54106505,126.866754,정좌표
서울특별시 양천구 목동 324-232,37.54320948,126.862797,정좌표
서울특별시 양천구 목동 627-8,37.54808331,126.8697972,정좌표
서울특별시 양천구 목동 639-5,37.54452997,126.8661343,정좌표
서울특별시 양천구 목동 657-16,37.5440603,126.8624206,정좌표
서울특별시 양천구 목동 657-8,37.54477001,126.8626691,정좌표
서울특별시 양천구 목동 741-2,37.53944785,126.867215,정좌표
서울특별시 양천구 목동 774-4,37.53341682,126.8685717,정좌표
서울특별시 양천구 목동 785-4,37.535296,126.8647731,정좌표
서울특별시 양천구 목동 786-3,37.53409565,126.8649367,정좌표
서울특별시 양천구 목동 786-6,37.53435001,126.8652105,정좌표
서울특별시 양천구 목동 787-2,37.53419312,126.8640117,정좌표
서울특별시 양천구 신월동 152-25,37.53337212,126.8245853,정좌표
서울특별시 양천구 신월동 331-1,37.52300502,126.8274268,정좌표
서울특별시 양천구 신월동 331-111,37.52293347,126.8262092,정좌표
서울특별시 양천구 신월동 331-46,37.52237685,126.8257985,정좌표
서울특별시 양천구 신월동 45-13,37.53715704,126.8266742,정좌표
서울특별시 양천구 신월동 46-4,37.53631335,126.8251237,정좌표
서울특별시 양천구 신월동 46-9,37.53624715,126.8247488,정좌표
서울특별시 양천구 신월동 48-2,37.53583562,126.8248175,정좌표
서울특별시 양천구 신월동 48-5,37.53596364,126.8256833,정좌표
서울특별시 양천구 신월동 504-15,37.52281432,126.8489913,정좌표
